a,alay
petkim,petrokimya endüstrisi genel müdürlüğü
pieaüö,petrol ihraç eden arap ülkeleri örgütü
pieüt,petrol ihraç eden ülkeler teşkilatı
pigm,petrol işleri genel müdürlüğü
pk,posta kutusu
po,petrol ofisi
poaş,petrol ofisi anonim şirketi
port.,portekizce
prof.,profesör
psikol.,psikoloji
ptt,posta ve telgraf teşkilatı genel müdürlüğü
ram,bilgisayarda okunabilir ve yazılabilir bellek (random access memory)
rc,kızılhaç (red cross)
rcd,bk. kibib (regional cooperation for development)
rk,rekabet kurumu
rna,ribo nükleik asit
rom,bilgisayarda yalnızca okunabilir bellek (read-only memory)
ro-ro,gemiye taşıt indirme bindirme (rolon-roloff)
rshm,refik saydam hıfzıssıhha merkezi başkanlığı
rtük,radyo ve televizyon üst kurulu
rum.,rumca
rus.,rusça
rü,rize üniversitesi
s,sayı
s.,sayfa
sa.,saat
sas,su altı savunma (komandoları)
sat,su altı taarruz (komandoları)
satem,savunma sanayii ve teknoloji eğitim merkezi
saü,sakarya üniversitesi
sb.,subay
sb,sağlık bakanlığı
sbf,siyasal bilgiler fakültesi
sbs,seviye belirleme sınavı
sdif,bk. tmsf (savings deposit insurance fund)
sdü,süleyman demirel üniversitesi
sefd bşk.,millî savunma bakanlığı seferberlik dairesi başkanlığı
sek,süt endüstrisi kurumu sanayi ve ticaret anonim şirketi
seka,selüloz ve kâğıt sanayii kurumu
sf.,sıfat
sg,sahil güvenlik
sgk,1.sosyal güvenlik kurumu 2. sahil güvenlik komutanlığı
sgm,sanayi ve ticaret bakanlığı sanayi genel müdürlüğü
shçek,sosyal hizmetler ve çocuk esirgeme kurumu
shgm,sivil havacılık genel müdürlüğü
shö,sivil havacılık örgütü
siü,siirt üniversitesi
skt,son kullanma tarihi
sl.,slavca
smwk,bk. kei (black sea economic cooperation pact)
sn.,1. sayın. 2. saniye
snt.,santral
snü,sinop üniversitesi
sok.,sokak
sos,uluslararası yardım isteme uyarısı (save our souls)
sos.,sosyoloji
sp.,spor
spa,bk. suges (salus per aquam)
spk,sermaye piyasası kurulu
srp.,sırpça
sscb,sovyet sosyalist cumhuriyetleri birliği
ssdb,sağlık bakanlığı sıtma savaş dairesi başkanlığı
ssk,sosyal sigortalar kurumu
ssm,savunma sanayi müsteşarlığı
stb,sanayi ve ticaret bakanlığı
stk,sivil toplum kuruluşu
stö,sivil toplum örgütü
suges,sudan gelen sağlık
sü,1. sabancı üniversitesi 2. selçuk üniversitesi
swift,bk. dbafit (society for worldwide interbank financial telecommunication)
syd,sayısal yoğun disk
sydgm,sosyal yardımlaşma ve dayanışma genel müdürlüğü
ş,şirket
şb.,şube
şehir,istanbul şehir üniversitesi
şü,şırnak üniversitesi
t,ton
t.,türkçe
t.c.,türkiye cumhuriyeti
taa,türkiye adalet akademisi
taek,türkiye atom enerjisi kurumu
tagem,tarımsal araştırmalar genel müdürlüğü
tai,bk. ths (turkish aerospace industry)
tapdk,tütün ve alkol piyasası düzenleme kurulu
tar.,tarih
tariş,tarım satış kooperatifleri birliği
tass,sovyetler birliği telgraf ajansı (telegrafnoe agentstvo sovetskogo soyuza)
taş,türk anonim şirketi
tau,teknik araştırma ve uygulama genel müdürlüğü
tb.,tabur
tbb,1. türkiye bankalar birliği 2. türkiye barolar birliği
tbmm,türkiye büyük millet meclisi
tcdd,türkiye cumhuriyeti devlet demiryolları
tck,türkiye cumhuriyeti karayolları
tcmb,türkiye cumhuriyet merkez bankası
tczb,türkiye cumhuriyeti ziraat bankası
tdçi,türkiye demir çelik işletmeleri
tdi,türkiye denizcilik işletmeleri
tdk,türk dil kurumu
teae,tarımsal ekonomi araştırma enstitüsü
teaş,türkiye elektrik üretim anonim şirketi
tedaş,türkiye elektrik dağıtım anonim şirketi
tedgem,teşkilatlanma ve destekleme genel müdürlüğü
tefe,toptan eşya fiyatları endeksi
teiaş,türkiye elektrik iletim anonim şirketi
tek,türkiye elektrik kurumu
tek.,teknik, teknoloji
tel.,telefon
telg.,telgraf
tem,avrupa transit kara yolu (trans european motor way)
temsan,türkiye elektromekanik sanayii
tetaş,türkiye elektrik, ticaret ve taahhüt anonim şirketi
tff,türkiye futbol federasyonu başkanlığı
tgc,türkiye gazeteciler cemiyeti
tgm,kültür ve turizm bakanlığı tanıtma genel müdürlüğü
tgs,türkiye gazeteciler sendikası
tğm.,teğmen
tha,türk haberler ajansı
thk,1. türk hava kurumu 2. türk hukuk kurumu
ths,türk havacılık sanayii
thsgm,telif hakları ve sinema genel müdürlüğü
thy,türk hava yolları
tir,uluslararası kara yolu taşımacılığı (transport international routier)
tic.,ticaret
tigem,tarım işletmeleri genel müdürlüğü
tika,türk iş birliği ve koordinasyon ajansı başkanlığı
tim,türkiye ihracatçılar merkezi
tisk,türkiye işverenler sendikası konfederasyonu
tiy.,tiyatro
tk,bk. btk (telekomünikasyon kurumu)
tkae,türk kültürünü araştırma enstitüsü
tkb,1. türkiye kalkınma bankası 2. türkiye kalkınma bankası anonim şirketi genel müdürlüğü 3. türk kadınlar birliği
tkf,toplu konut fonu
tkgm,tapu ve kadastro genel müdürlüğü
tki,türkiye kömür işletmeleri
tl,türk lirası
tlks.,teleks
tls.,telsiz
tm,türk malı
tmmob,türk mühendis ve mimar odaları birliği
tmo,toprak mahsulleri ofisi
tmsf,tasarruf mevduatı sigorta fonu
tmsk,türkiye muhasebe standartları kurulu
tncü,tunceli üniversitesi
tobb,türkiye odalar ve borsalar birliği
tobb etü,tobb ekonomi ve teknoloji üniversitesi
todaie,türkiye ve orta doğu amme idaresi enstitüsü
toefl,yabancı dil olarak ingilizce testi (test of english as a foreign language)
toki,toplu konut idaresi başkanlığı
top.,topçu
tömer,türkçe öğretim merkezi
töü,turgut özal üniversitesi
tp,türk petrolleri
tpao,türkiye petrolleri anonim ortaklığı
tpe,türk patent enstitüsü
tr,türkiye
trgm,tarım reformu genel müdürlüğü
trkgm,tüketicinin ve rekabetin korunması genel müdürlüğü
trs,toros üniversitesi
trt,türkiye radyo ve televizyon kurumu
tse,türk standartları enstitüsü
tsi,türkiye saati ile
tsk,türk silahlı kuvvetleri
tskb,türkiye sınai kalkınma bankası
tt,türkiye türkçesi
ttb,türk tabipleri birliği
ttk,1. türk tarih kurumu 2.türkiye taşkömürü kurumu
ttkb,talim ve terbiye kurulu başkanlığı
ttok,türkiye turing ve otomobil kurumu
tubim,türkiye uyuşturucu ve uyuşturucu bağımlılığını izleme merkezi
tug.,tugay
tuğa.,tuğamiral
tuğg.,tuğgeneral
turkstat,bk. tüik (turkish statistic institution)
tus,tıpta uzmanlık eğitimi giriş sınavı
tü,trakya üniversitesi
tüba,türkiye bilimler akademisi
tübitak,türkiye bilimsel ve teknolojik araştırma kurumu
tüdemsaş,türkiye demiryolu makineleri sanayii anonim şirketi
tüfe,tüketici fiyatları endeksi
tügem,tarımsal üretim ve geliştirme genel müdürlüğü
tüik,türkiye istatistik kurumu
tülomsaş,türkiye lokomotif ve motor sanayii anonim şirketi
tüm.,tümen
tüma.,tümamiral
tümg.,tümgeneral
tüpraş,türkiye petrol rafinerileri anonim şirketi
türdok,türkiye dokümantasyon merkezi
türkak,türk akreditasyon kurumu
türkiye koop,türkiye millî kooperatifler birliği
türkkoop,türkiye tarım kredi kooperatifleri merkez birliği
türksat,türksat uydu haberleşme kablo tv ve işletme anonim şirketi
türkşeker,türkiye şeker fabrikaları anonim şirketi
türsab,türkiye seyahat acenteleri birliği
tütav,türk tanıtma vakfı
tüvasaş,türkiye vagon sanayii anonim şirketi
tv,televizyon
tydta,türkiye yatırım destek ve tanıtım ajansı başkanlığı
tzdk,türkiye zirai donatım kurumu
tzob,türkiye ziraat odaları birliği
ua,avrupa birliği eğitim ve gençlik programları merkezi başkanlığı
uaaf,uluslararası amatör atletizm federasyonu
uad,uluslararası adalet divanı
uaea,uluslararası atom enerjisi ajansı
uagf,uluslararası amatör güreş federasyonu
uat,uluslararası af teşkilatı
ubak,ulaştırma bakanlığı
ubam,ulusal bilimsel araştırma merkezi
ubb,uluslararası basın birliği
ube,uluslararası basın enstitüsü
ubf,uluslararası basketbol federasyonu
ubok,uluslararası bilimsel organizasyon konseyi
uçö,uluslararası çalışma örgütü
udö,uluslararası denizcilik örgütü
ue,bk. ab (european union)
uea,uluslararası enerji ajansı
uefa,bk. affb (union of european football associations)
ueibb,uluslararası ekonomik iş birliği bankası
uethf,uluslararası ekolojik tarım hareketleri federasyonu
uff,uluslararası futbol federasyonu
ufk,uluslararası finansman kurumu
ufo,tanımlanmamış uçan nesne (unidentified flying object)
uhf,ultra yüksek frekans (ultra high frequency)
uhik,uluslararası hilal islam komitesi
uhtb,uluslararası hava taşımacılığı birliği
uiibö,uluslararası iktisadi iş birliği örgütü
uikb,uluslararası imar ve kalkınma bankası
uka,uluslararası kalkınma ajansı
ukk,uluslararası kızılhaç komitesi
umt,uluslararası mülteci teşkilatı
un,bk. bm (united nations)
unac,bk. bmçyt (united nations aid to children)
unctad,bk. bmtkk (united nations conference on trade and development)
unctc,bk. uşm (united nations centre on transnational corporations)
unesco,bk. bmebkt (united nations educational, scientific and cultural organization)
unhcr,bk. myk
unicef,birleşmiş milletler uluslararası çocuklara yardım fonu (united nations international children’s emergency fund)
unido,bk. bmskö (united nations industrial development organisation)
uno,bk. bmt (united nations organization)
unrra,bk. bmyri (united nations relief and rehabilitation administration)
uok,uluslararası olimpiyat komitesi
uöb,uluslararası ödemeler bankası
upb,uluslararası posta birliği
upf,uluslararası para fonu
upi,bk. ubb (united press international)
upu,bk. upb (universal postal union)
usaş,uçak sanayi anonim şirketi
usf,uluslararası satranç federasyonu
ushö,uluslararası sivil havacılık örgütü
usö,uluslararası standartlar örgütü
uşm,ulusötesi şirketler merkezi
utkf,uluslararası tarımsal kalkınma fonu
utm,uluslararası ticaret merkezi
uto,uluslararası ticaret odası
uü,1. ufuk üniversitesi 2. uludağ üniversitesi
uyaçm,uluslararası yatırım anlaşmazlıkları çözüm merkezi
uyb,uluslararası yazarlar birliği
uzm.,uzman
ü,üniversite
üak,üniversitelerarası kurul başkanlığı
üçvş.,üstçavuş
üds,üniversitelerarası kurul yabancı dil sınavı
üfe,üretici fiyatları endeksi
ünl.,ünlem
üt,üretim tarihi
ütğm.,üsteğmen
vb.,ve başkası, ve başkaları, ve benzeri, ve benzerleri, ve bunun gibi
vcd,bk. gyd (video compact disc)
vd.,ve devamı, ve diğerleri
vdmk,varlığa dayalı menkul kıymetler
vet.,veteriner
vgm,1. vakıflar genel müdürlüğü 2. verimlik genel mü
vhf,çok yüksek frekans (very high frequency)
vip,çok önemli kişi (very important person)
vs.,vesaire
w,elektrik güç birimi (watt)
wach,bk. bato (west african clearing house)
wadb,bk. bakb (west african development bank)
wap,bk. ked (wireless application protocol)
wco,bk. dgö (world customs organization)
wfc,bk. dgk (world food council)
who,bk. dsö (world health organization)
wipo,bk. dfmhö (world intellectual property organisation)
wto,bk. dtö (world trade organization)
y. mim.,yüksek mimar
y. müh.,yüksek mühendis
yay.,yayını, yayınları
yb.,yarbay
yd,yoğun disk
yd. sb.,yedek subay
ydk,yüksek denetleme kurulu
yds,yabancı dil sınavı
yeögm,yurt dışı eğitim öğretim genel müdürlüğü
yibf,yardım ve iş birliği fonu
yigm,1. bayındırlık ve iskân bakanlığı yapı işleri genel müdürlüğü 2. kültür ve turizm bakanlığı yatırım ve işletmeler genel müdürlüğü
ykr,yeni kuruş
yögm,millî eğitim bakanlığı yükseköğretim genel müdürlüğü
yök,yükseköğretim kurulu
yös,yabancı uyruklu öğrenci sınavı
yrd. doç.,yardımcı doçent
yse,yol, su, elektrik genel müdürlüğü
ysk,yüksek seçim kurulu
ytl,yeni türk lirası
ytü,1. yeditepe üniversitesi 2. yıldız teknik üniversitesi
yun.,yunanca
yurtkur,yükseköğrenim kredi ve yurtlar kurumu
yü,1. yalova üniversitesi 2. yaşar üniversitesi
yy.,yüzyıl
yyü,yüzüncü yıl üniversitesi
yzb.,yüzbaşı
zf.,zarf
zkü,zonguldak karaelmas üniversitesi
zm.,zamir
zmo,ziraat mühendisleri odası
zool.,zooloji
zrv,zirve üniversitesi
